potential_aed_id,intervention_id,intervention_lat,intervention_lon,distance_to_potential_aed,distance_to_existing_aed,existing_aed_id,existing_aed_lat,existing_aed_lon,arrest_count,potential_aed_lat,potential_aed_lon
2350,[11851],[50.5178],[3.39298],[1.2602891776068197],[1.344909873693897],[2558],[50.5060053],[3.3887676],1,50.51010101010101,3.4060606060606062
2351,"[11910, 13788, 14514, 14652, 17674]","[50.53629, 50.53624, 50.53234, 50.53424, 50.53997]","[3.40529, 3.40532, 3.40803, 3.40637, 3.40869]","[0.6679449707266792, 0.6622329229120867, 0.2658557263846141, 0.43831690634135684, 1.090863594099669]","[1.1684374126157233, 1.1637565183058376, 0.8234586701110426, 0.9975990302942601, 1.266251445382014]","[2345, 2345, 2345, 2345, 2345]","[50.5308629, 50.5308629, 50.5308629, 50.5308629, 50.5308629]","[3.4194462, 3.4194462, 3.4194462, 3.4194462, 3.4194462]",5,50.53030303030303,3.4060606060606062
2353,"[14765, 16550]","[50.57232, 50.5797]","[3.39458, 3.41105]","[0.8303776609788882, 1.0602232607302624]","[2.265342397784285, 1.6877460746018358]","[12271, 12271]","[50.5925528, 50.5925528]","[3.3983338, 3.3983338]",2,50.57070707070707,3.4060606060606062
2354,"[14819, 14924]","[50.59248, 50.59015]","[3.41077, 3.41633]","[0.375539395872981, 0.729844771110131]","[0.6940917809400237, 1.0925983071426435]","[9071, 2627]","[50.5971102, 50.5993105]","[3.4041753, 3.4107305]",2,50.59090909090909,3.4060606060606062
2355,"[11498, 13961]","[50.60993, 50.61087]","[3.41381, 3.41672]","[0.5623712640940596, 0.7526293400575572]","[0.6680010145747828, 0.8161467332228833]","[8817, 7758]","[50.6124526, 50.6170796]","[3.4052182, 3.410553]",2,50.611111111111114,3.4060606060606062
2356,"[13383, 17843]","[50.62691, 50.63614]","[3.4046, 3.40041]","[0.5003277514028045, 0.6685026851085443]","[0.5469677449383513, 0.882946652463631]","[5592, 6158]","[50.6290291, 50.6320765]","[3.4115979, 3.4111657]",2,50.631313131313135,3.4060606060606062
2357,[16332],[50.65355],[3.41385],[0.5939393996402459],[0.7063566878878604],[13116],[50.6548281],[3.4040353],1,50.65151515151515,3.4060606060606062
2359,[11038],[50.69453],[3.41247],[0.5367540686390873],[2.8152073767058097],[2553],[50.6927944],[3.372597],1,50.69191919191919,3.4060606060606062
2360,"[14330, 16291]","[50.72211, 50.71674]","[3.40236, 3.39644]","[1.1408496955988823, 0.8500500450335422]","[3.5984452748656133, 3.147831395987175]","[5702, 2553]","[50.7397117, 50.6927944]","[3.4452631, 3.372597]",2,50.71212121212121,3.4060606060606062
2361,"[11363, 12225, 17644]","[50.73216, 50.72849, 50.72552]","[3.40477, 3.40397, 3.39207]","[0.09262895960982764, 0.45091934550444623, 1.241760204668221]","[2.970834695384475, 3.1626642760114914, 3.8886897987093434]","[5702, 5702, 2553]","[50.7397117, 50.7397117, 50.6927944]","[3.4452631, 3.4452631, 3.372597]",3,50.73232323232323,3.4060606060606062
2362,[11994],[50.74684],[3.40305],[0.6667108105493563],[2.181972383008277],[12575],[50.7570974],[3.4294909],1,50.75252525252525,3.4060606060606062
2449,[14371],[50.49642],[3.45344],[0.9191663691758468],[1.8639239947403587],[1651],[50.5120542],[3.4439334],1,50.48989898989899,3.4454545454545453
2451,[17125],[50.52314],[3.44892],[0.8333126505908999],[1.28211275027753],[1651],[50.5120542],[3.4439334],1,50.53030303030303,3.4454545454545453
2452,[17196],[50.55587],[3.44987],[0.6731933254567901],[0.6875965272467908],[2909],[50.5503284],[3.4541886],1,50.55050505050505,3.4454545454545453
2453,"[12147, 12514, 12904, 13892, 14595, 16729, 17039, 17268, 17434]","[50.56864, 50.56835, 50.56991, 50.5678, 50.56968, 50.57041, 50.57165, 50.5705, 50.56933]","[3.4446, 3.44387, 3.44405, 3.4417, 3.44588, 3.44556, 3.44367, 3.44577, 3.44568]","[0.23763905983287603, 0.2849855511754117, 0.13302143203759906, 0.41809535086949207, 0.11809158107601556, 0.033861901379231445, 0.16394027654125176, 0.03203878176060096, 0.15394889447360655]","[0.30019563398105903, 0.343072988929377, 0.39851621148216515, 0.43203237288812046, 0.2832520560967204, 0.35962985611614495, 0.504657568986248, 0.35897517660269834, 0.2676131590644458]","[956, 956, 956, 9633, 956, 956, 9574, 956, 956]","[50.5678452, 50.5678452, 50.5678452, 50.5639866, 50.5678452, 50.5678452, 50.5754043, 50.5678452, 50.5678452]","[3.4486621, 3.4486621, 3.4486621, 3.4428718, 3.4486621, 3.4486621, 3.4396546, 3.4486621, 3.4486621]",9,50.57070707070707,3.4454545454545453
2454,[13186],[50.59685],[3.44011],[0.7607342693763749],[0.8579578987175355],[5118],[50.5903852],[3.4334752],1,50.59090909090909,3.4454545454545453
2455,[16895],[50.60965],[3.46198],[1.1773534101143426],[2.036088650816666],[4923],[50.6140112],[3.4339547],1,50.611111111111114,3.4454545454545453
2457,[13955],[50.65348],[3.44399],[0.24164995413300808],[0.311621321828516],[10481],[50.6506777],[3.4439402],1,50.65151515151515,3.4454545454545453
