potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon,Province
958,1,[1.236331128148399],50.38436992770023,4.974462537064607,[18520],[50.37443],[4.96665],[6343],[1.2510139021686355],[50.36868686868687],[4.981818181818182],Région Wallonne
700,1,[0.1314700371628475],50.468899261371725,4.925389939672665,[26361],[50.4695],[4.92379],[6248],[1.3190052178604916],[50.46969696969697],[4.942424242424243],Région Wallonne
8742,1,[0.4355394161386362],49.589811483310655,5.759631298502801,[23137],[49.59041],[5.75366],[8304],[1.573686544467769],[49.58080808080808],[5.7696969696969695],Wallonia
688,1,[0.6636507714470489],50.43897928427397,4.720995443844659,[18853],[50.43323],[4.71848],[5646],[0.98259810344406],[50.42929292929293],[4.706060606060606],Wallonia
9007,1,[0.2302793918291693],50.27659565855077,6.114707600426458,[15761],[50.27751],[6.1118],[9238],[1.4062228419369869],[50.26767676767677],[6.124242424242425],Région Wallonne
9169,1,[0.733779701500683],50.329314062430434,6.068240612918728,[17751],[50.327],[6.05856],[9041],[0.9411820451238302],[50.32828282828283],[6.045454545454546],Wallonia
9167,1,[0.6786832044041738],50.27397251855092,6.055926927155984,[17144],[50.27587],[6.04685],[9038],[0.9164279624028712],[50.26767676767677],[6.045454545454546],Wallonia
9158,1,[0.5497428271157393],50.365760206165454,5.860707790249407,[17371],[50.37021],[5.85733],[8543],[0.6497934709594424],[50.36868686868687],[5.848484848484849],Région Wallonne
571,1,[0.6407120000110365],50.63640913980276,4.851970726704005,[6961],[50.64113],[4.85718],[6056],[1.1827454999082114],[50.631313131313135],[4.863636363636363],Région Wallonne
9150,1,[0.2199105183317858],50.42820591924644,5.98446567293697,[15423],[50.42626],[5.98502],[8846],[1.343119991513541],[50.42929292929293],[5.966666666666667],Région Wallonne
9146,1,[0.730398433584117],50.32478139109013,5.896613649825225,[17752],[50.33016],[5.90252],[8641],[1.060046919960618],[50.32828282828283],[5.887878787878789],Région Wallonne
577,1,[0.4884826128658297],50.49770667209262,4.722754192434907,[24357],[50.50058],[4.71753],[5650],[1.3336945900182533],[50.51010101010101],[4.706060606060606],Région Wallonne
579,1,[1.415135203521728],50.37949716732836,4.744933445176158,[10989],[50.37455],[4.76332],[5743],[1.4249237990845531],[50.36868686868687],[4.745454545454546],Wallonia
9127,1,[0.7108169297343488],50.190643203736585,6.000783214125071,[23270],[50.19284],[6.01016],[8934],[0.7252876754372342],[50.186868686868685],[6.006060606060606],Wallonia
9085,1,[0.5297811481379129],50.219704859712,6.074901858477977,[17160],[50.21495],[6.07443],[9135],[1.1477231199203792],[50.207070707070706],[6.084848484848486],Région Wallonne
9082,1,[0.1475052636391259],50.35355166947008,6.120698911234113,[16039],[50.35278],[6.12239],[9242],[0.4953540151628157],[50.34848484848485],[6.124242424242425],Région Wallonne
582,1,[0.4432943369243848],50.48137327038365,4.952883700370822,[11662],[50.47801],[4.94952],[6248],[1.0519552647059414],[50.46969696969697],[4.942424242424243],Région Wallonne
