potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon
8542,3,"[0.9492753426633496, 0.9492753426633496, 0.7952469947069415]",50.34848484848485,5.848484848484849,"[27827, 27828, 35074]","[50.35302, 50.35302, 50.34924]","[5.85982, 5.85982, 5.85963]","[2868, 2868, 2868]","[1.0846035027531633, 1.0846035027531633, 1.201079030542316]","[50.3542854, 50.3542854, 50.3542854]","[5.8446618, 5.8446618, 5.8446618]"
5759,3,"[1.098114684598994, 1.1437433026080812, 1.1437433026080812]",50.69191919191919,4.745454545454546,"[12499, 32044, 32045]","[50.70085, 50.70154, 50.70154]","[4.7388, 4.73971, 4.73971]","[8080, 8080, 8080]","[2.43456196438585, 2.4050534702989372, 2.4050534702989372]","[50.71945, 50.71945, 50.71945]","[4.72056, 4.72056, 4.72056]"
7662,3,"[0.259941549933162, 0.4300375580960533, 0.4300375580960533]",50.75252525252525,5.493939393939394,"[35744, 36657, 36658]","[50.75019, 50.74871, 50.74871]","[5.49377, 5.49494, 5.49494]","[1100, 1100, 1100]","[0.7698049079453192, 0.9434292553206448, 0.9434292553206448]","[50.7548162, 50.7548162, 50.7548162]","[5.4856293, 5.4856293, 5.4856293]"
3649,3,"[0.5748769814320344, 0.7529241296182835, 0.5741362425122394]",50.48989898989899,3.9181818181818184,"[22733, 23607, 46676]","[50.48515, 50.48429, 50.48516]","[3.91497, 3.91222, 3.91496]","[3499, 3499, 3499]","[0.9577751853102774, 0.9439100077506626, 0.9590391273796268]","[50.47687, 50.47687, 50.47687]","[3.9187, 3.9187, 3.9187]"
3648,3,"[0.0979014607238467, 0.0979014607238467, 0.0928643767216444]",50.46969696969697,3.9181818181818184,"[18818, 18819, 23136]","[50.46992, 50.46992, 50.46926]","[3.91952, 3.91952, 3.9193]","[1564, 1564, 1566]","[0.1633707215811557, 0.1633707215811557, 0.1870397320600016]","[50.4705841, 50.4705841, 50.4677411]","[3.9174609, 3.9174609, 3.9204355]"
5761,3,"[0.5048150854118427, 0.5048150854118427, 0.4591817788380767]",50.73232323232323,4.745454545454546,"[14648, 14649, 44391]","[50.73546, 50.73546, 50.73139]","[4.75064, 4.75064, 4.75181]","[8080, 8080, 8080]","[2.766223834242768, 2.766223834242768, 2.5693194186343677]","[50.71945, 50.71945, 50.71945]","[4.72056, 4.72056, 4.72056]"
7272,3,"[0.707716175686538, 0.707716175686538, 0.336522384305519]",50.95454545454545,5.336363636363637,"[36275, 36276, 40907]","[50.96091, 50.96091, 50.95245]","[5.33642, 5.33642, 5.33983]","[6294, 6294, 3992]","[0.8561091252388018, 0.8561091252388018, 0.5072937967378398]","[50.9640719, 50.9640719, 50.94818]","[5.3475658, 5.3475658, 5.33728]"
7810,3,"[1.1372781088283384, 1.1372781088283384, 0.9971289607030304]",49.7020202020202,5.572727272727273,"[42142, 42143, 44182]","[49.70442, 49.70442, 49.69857]","[5.5881, 5.5881, 5.55993]","[8144, 8144, 2882]","[1.185434628678354, 1.185434628678354, 2.0517226018560515]","[49.7130737, 49.7130737, 49.7170211]","[5.5977283, 5.5977283, 5.5601368]"
6289,3,"[0.3539278217601376, 0.3539278217601376, 0.5984148136164044]",51.2979797979798,4.942424242424243,"[5643, 5644, 10422]","[51.29608, 51.29608, 51.29282]","[4.93834, 4.93834, 4.94487]","[150, 150, 7213]","[0.4598704460621887, 0.4598704460621887, 0.804154158883019]","[51.2984995, 51.2984995, 51.2887306]","[4.9329758, 4.9329758, 4.9544079]"
6231,3,"[0.6404200828344386, 0.6404200828344386, 0.5173049526855266]",50.12626262626263,4.942424242424243,"[44479, 44480, 47267]","[50.12053, 50.12053, 50.12259]","[4.94329, 4.94329, 4.93797]","[3447, 3447, 3447]","[0.7162127907017464, 0.7162127907017464, 0.7939348430115363]","[50.1264148, 50.1264148, 50.1264148]","[4.9473741, 4.9473741, 4.9473741]"
